,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,timestamp,Date,Time,hour,day_of_week,month
0,0.3607808787178892,1.207923345901654,0.23110569936671532,0.387916355192232,-0.3191434418224603,0.8607400507255943,0.10121744722692312,0.6732543365722309,0.611915032286227,-0.5503398809618253,-0.010347553868322909,-0.6779773137979784,2004-03-10 18:00:00,3/10/2004,18:00:00,18,2,3
1,-0.06130607674918853,0.890936657934173,-0.10371603226800381,0.04689777721181149,-0.6232112850842799,1.3209547178946563,-0.3378687755137168,0.28462927801667726,-0.1369440400788258,-0.5843872604631528,-0.08008062754257261,-0.759164663931163,2004-03-10 19:00:00,3/10/2004,19:00:00,19,2,3
2,0.07938957507317082,1.4037092414109806,-0.15728750932955893,-0.013061533202328385,-0.4880700214123601,1.1883504917611978,0.1221263149764774,0.27294130633079594,0.12110874837129373,-0.743275031469348,0.28601800924723947,-0.697080219711669,2004-03-10 20:00:00,3/10/2004,20:00:00,20,2,3
3,0.07938957507317082,1.282508448952826,-0.13050177079878147,0.020665578905625294,-0.2901845996070489,1.0011445254551388,0.2893972569729117,0.3576791010534354,0.447469627881739,-0.8454171699733307,0.6346833776184891,-0.6053360005209187,2004-03-10 21:00:00,3/10/2004,21:00:00,21,2,3
4,-0.3426973803939069,0.7977052791202079,-0.49210924096427805,-0.3990495939933538,-0.4880700214123601,1.4418585711339862,0.16394405047558597,0.0830117664352246,0.21218620311839476,-0.8227189169724458,0.6114390197270726,-0.6000575659921358,2004-03-10 22:00:00,3/10/2004,22:00:00,22,2,3
5,-0.6240886840386255,0.44808760856783914,-0.7331808877412758,-0.7213308874693556,-0.6907819169202399,1.956674978475649,-0.2542333045154997,-0.20042154694739725,-0.19513241394502923,-0.8227189169724458,0.588194661835656,-0.6101117269993411,2004-03-10 23:00:00,3/10/2004,23:00:00,23,2,3
6,-0.6240886840386255,0.3921487812794601,-0.8805024496605522,-0.9461783015223801,-0.8210967068895912,2.444190515731011,-0.651501791757031,-0.3757411222356169,-0.7415971424276353,-0.8113697904720031,0.44872851448715584,-0.6716934631684751,2004-03-11 00:00:00,3/11/2004,0:00:00,0,3,3
7,-0.7647843358609846,0.16373190318524583,-0.9206810574567186,-1.0136325257382874,-0.8210967068895912,2.409089397048625,-0.6724106595065854,-0.3757411222356169,-0.749186930323227,-0.8794645494746584,0.6346833776184891,-0.6468094146756413,2004-03-11 01:00:00,3/11/2004,1:00:00,1,3,3
8,-0.8351321617721643,-0.03205399232408069,-1.0546097501106062,-1.2497223104939632,-0.9031467598332569,2.9005050586020302,-1.006952543499454,-0.5422947187594256,-1.0274791531615912,-0.8794645494746584,0.6172501091999268,-0.6603825320353687,2004-03-11 02:00:00,3/11/2004,2:00:00,2,3,3
9,-1.046175639505703,-0.42362578334273376,-1.1349669657029389,-1.429600241736383,-1.0141556549923338,3.3919207201554356,-1.5087653694887566,-0.6620964285397091,-1.3285407396867306,-0.9248610554764283,0.6463055565641976,-0.6933099093339669,2004-03-11 03:00:00,3/11/2004,3:00:00,3,3,3
